id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url,,,
1.12751821430745E+018,1.12751817820296E+018,1557656265000,2019-05-12,17:17:45,WIB,186380938,bitterswee3t,🦊,,"4. Aku ingin jadi penulis - Sajama cut ""mari bunuh diri""  Tanpa Harapan.",,[],[],1,1,0,,[],https://twitter.com/bitterswee3t/status/1127518214307454976,,,0,https://pbs.twimg.com/profile_images/1127293032330481664/Em37E1J4.jpg,,,
1.12751761356993E+018,1.12751761356993E+018,1557656121000,2019-05-12,17:15:21,WIB,1.12598173347454E+018,sukagakjelass,Aku,,"sudah menyiapkan hati dari sekarang, jikalau doi akan di jodohkan nanti setelah lebaran :) kesel pasti, rasanya ingin menbunuh & bunuh diri.",,[],[],0,0,0,,[],https://twitter.com/sukagakjelass/status/1127517613569929216,,,0,https://pbs.twimg.com/profile_images/1126867559876153344/dcApDBB4.jpg,,,
1.12748286850505E+018,1.12747877764094E+018,1557647838000,2019-05-12,14:57:18,WIB,1.11778141474367E+018,deathofloud,Jiwon,,Rumitnya kehidupan membuatnya nyaris ingin bunuh diri. Walau ia sudah melakukan beberapa kali. Melukai dirinya menjadi hal yang paling biasa dilakukan sebelum tidur.      Setidaknya meringankan rasa stress yang ia rasakan.      Terkadang ia menangis sampai matanya sangat bengkak.,,[],[],1,0,0,,[],https://twitter.com/deathofloud/status/1127482868505047040,,,0,https://pbs.twimg.com/profile_images/1127494789723672581/2WUcs6Ww.jpg,,,
1.12735439337476E+018,1.12735439337476E+018,1557617207000,2019-05-12,06:26:47,WIB,2967566089,boiingee,Nani Istanti,,Mungkin hari ini ku menangis sampai ingin bunuh diri. Tapi hari esok siapa yang tau? Allah maha baik semua diperlihatkan dan diperjelas 😇🙏💪,,[],[],0,0,0,,[],https://twitter.com/boiingee/status/1127354393374760960,,,0,https://abs.twimg.com/sticky/default_profile_images/default_profile.png,,,
1.12733232822774E+018,1.12726436628427E+018,1557611946000,2019-05-12,04:59:06,WIB,523210072,_wahyupu,NIKILHO,,"Terlalu dalam mencintai ? Tai! 2thn yg lalu aku mati""an mengerjakan skripsi Dengan Ibu satu""nya motivasi. Ketika didlm ruang pendaftaran wisuda, Aku terima tlpn bahwa ibuku tiada.  Sakit mana ? Putus asa mana ?  Apakah aku ingin bunuh diri ? Tdk sma sekali. Lu nya aja yg GOBLOK!!",['ardddo'],[],[],1,0,0,,[],https://twitter.com/_WahyuPU/status/1127332328227737602,,,0,https://pbs.twimg.com/profile_images/946375340598861824/baw2fP7s.jpg,,,
1.1273219134438E+018,1.1273219134438E+018,1557609463000,2019-05-12,04:17:43,WIB,888585439,ardiansyahh27,KerangAjaib,,Ingin ku bunuh diri saja rasa nya diri ini,,[],[],0,0,0,,[],https://twitter.com/ardiansyahh27/status/1127321913443799040,,,0,https://pbs.twimg.com/profile_images/954987422932090881/nHxnkSHy.jpg,,,
1.12728523087894E+018,1.12728523087894E+018,1557600717000,2019-05-12,01:51:57,WIB,64161052,yuliiiii,MitaYulianaﻬ,,"""Aku tidak ingin membunuh kamu, tapi kamu ingin bunuh diri""",,[],[],0,0,0,,[],https://twitter.com/yuliiiii/status/1127285230878937088,,,0,https://pbs.twimg.com/profile_images/1127486113654775810/v91mx7cp.jpg,,,
1.12727522819787E+018,1.12727522819787E+018,1557598332000,2019-05-12,01:12:12,WIB,1.0304864973785E+018,bangkaikudanil,M Agus Rizal,,"Jika anda ingin mempercepat kematian, jngan bunuh diri. Cukup ngerjain tugas metpen saja.",,[],[],1,1,6,,[],https://twitter.com/bangkaikudanil/status/1127275228197867521,,,0,https://pbs.twimg.com/profile_images/1030503587082727425/65nr5_qN.jpg,,,
1.12726759302525E+018,1.12726436628427E+018,1557596512000,2019-05-12,00:41:52,WIB,154727397,ardddo,Ardo,,"Teman saya banyak, namun tidak ada yg mengerti. Sampai kapan harus seperti ini ? Terpuruk hingga terbesit ingin bunuh diri. Entahlah, akupun tidak mengerti. Aku terlalu dalam mencintai.",,[],[],2,0,0,,[],https://twitter.com/ardddo/status/1127267593025245184,,,0,https://pbs.twimg.com/profile_images/1125787311868768256/PMzEbhf5.jpg,,,
1.12724387665207E+018,1.12724387665207E+018,1557590858000,2019-05-11,23:07:38,WIB,530985907,dahpunyae,Mas Masan®,,"X: aku ingin menikahimu Y: emang kamu bisa apa? X: kan kubawa keluargaku ke surga Y: heeee, kamu mau ngajak bunuh diri? X: .....",,[],[],0,0,0,,[],https://twitter.com/dahpunyae/status/1127243876652072960,,,0,https://pbs.twimg.com/profile_images/687194658196209664/CbTg4SO0.jpg,,,
